{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:57  t-loss1/2:0.7815/0.5745, loss-lb1/2:0.7815/0.5745, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:58  t-loss1/2:0.7354/0.7163, loss-lb1/2:0.7354/0.7163, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:59  t-loss1/2:0.5752/0.7071, loss-lb1/2:0.5752/0.7071, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:60  t-loss1/2:0.6579/0.5801, loss-lb1/2:0.6579/0.5801, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:61  t-loss1/2:0.6454/0.6992, loss-lb1/2:0.6454/0.6992, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:62  t-loss1/2:0.6209/0.6625, loss-lb1/2:0.6209/0.6625, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:63  t-loss1/2:0.4654/0.5042, loss-lb1/2:0.4654/0.5042, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:64  t-loss1/2:0.7643/0.6596, loss-lb1/2:0.7643/0.6596, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:65  t-loss1/2:0.4538/0.4910, loss-lb1/2:0.4538/0.4910, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:66  t-loss1/2:0.6581/0.5703, loss-lb1/2:0.6581/0.5703, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
