{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs2',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:93  t-loss1/2:0.4086/0.4238, loss-lb1/2:0.4086/0.4238, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:94  t-loss1/2:0.3914/0.4169, loss-lb1/2:0.3914/0.4169, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:95  t-loss1/2:0.3788/0.4397, loss-lb1/2:0.3788/0.4397, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:96  t-loss1/2:0.3491/0.3804, loss-lb1/2:0.3491/0.3804, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:97  t-loss1/2:0.4178/0.3791, loss-lb1/2:0.4178/0.3791, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:98  t-loss1/2:0.4569/0.4458, loss-lb1/2:0.4569/0.4458, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:99  t-loss1/2:0.4189/0.3092, loss-lb1/2:0.4189/0.3092, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:100  t-loss1/2:0.3975/0.3604, loss-lb1/2:0.3975/0.3604, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:101  t-loss1/2:0.3825/0.3283, loss-lb1/2:0.3825/0.3283, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:102  t-loss1/2:0.3527/0.3083, loss-lb1/2:0.3527/0.3083, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:103  t-loss1/2:0.3348/0.2979, loss-lb1/2:0.3348/0.2979, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
 <<Test>> - Ep:0  - mean_dice/mean_h95 - M1:43.58/24.19, Best-1:43.58, M2:36.82/32.45, Best-2:36.82
          - AvgLoss1(lb/ulb/all):0.9772/0.0000/0.4120- AvgLoss2(lb/ulb/all):0.9111/0.0000/0.4196
  0%|                               | 1/292 [00:23<1:54:35, 23.63s/it]iteration:104  t-loss1/2:0.3465/0.4056, loss-lb1/2:0.3465/0.4056, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:105  t-loss1/2:0.3741/0.3272, loss-lb1/2:0.3741/0.3272, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:106  t-loss1/2:0.3341/0.3102, loss-lb1/2:0.3341/0.3102, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:107  t-loss1/2:0.3654/0.3992, loss-lb1/2:0.3654/0.3992, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:108  t-loss1/2:0.4173/0.4109, loss-lb1/2:0.4173/0.4109, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:109  t-loss1/2:0.3878/0.3434, loss-lb1/2:0.3878/0.3434, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:110  t-loss1/2:0.3338/0.2917, loss-lb1/2:0.3338/0.2917, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:111  t-loss1/2:0.3312/0.3811, loss-lb1/2:0.3312/0.3811, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:112  t-loss1/2:0.3668/0.2621, loss-lb1/2:0.3668/0.2621, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:113  t-loss1/2:0.3554/0.2521, loss-lb1/2:0.3554/0.2521, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:114  t-loss1/2:0.3426/0.3112, loss-lb1/2:0.3426/0.3112, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:115  t-loss1/2:0.3643/0.3313, loss-lb1/2:0.3643/0.3313, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
